
N	10000
r	0.333333
Steps	1e+005
Sample	1e+006

k	<x(k)>	SD[x(k)]
-1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.000009	0.000017	0.000066	0.000189	0.000570	0.001675	0.004657	0.012863	0.042990	0.071727	0.055552	0.018868	0.007512	0.003016	0.001104	0.000416	0.000142	0.000065	0.000021	0.000006	0.000008	0.000001	0.000002	0.000001	
0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000002	0.000014	0.000045	0.000134	0.000348	0.001058	0.002944	0.007958	0.021157	0.067170	0.100820	0.071212	0.028399	0.011368	0.004478	0.001725	0.000594	0.000231	0.000075	0.000032	0.000018	0.000012	0.000004	0.000002	0.000000	
1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000002	0.000018	0.000050	0.000146	0.000362	0.001094	0.002821	0.007325	0.018151	0.052620	0.066699	0.042612	0.017285	0.006781	0.002633	0.000998	0.000357	0.000132	0.000038	0.000017	0.000006	0.000004	0.000002	0.000000	0.000000	
2	0.000000	0.000000	0.000000	0.000001	0.000001	0.000001	0.000009	0.000029	0.000073	0.000216	0.000532	0.001309	0.003179	0.007062	0.018264	0.020963	0.012628	0.005069	0.001932	0.000725	0.000286	0.000110	0.000045	0.000013	0.000004	0.000002	0.000000	0.000000	0.000000	0.000000	
3	0.000000	0.000000	0.000001	0.000001	0.000001	0.000001	0.000003	0.000017	0.000057	0.000118	0.000280	0.000683	0.001483	0.003197	0.007373	0.008013	0.004478	0.001826	0.000679	0.000255	0.000105	0.000046	0.000019	0.000004	0.000001	0.000000	0.000000	0.000000	0.000000	0.000000	
4	0.000000	0.000000	0.000001	0.000000	0.000001	0.000000	0.000001	0.000011	0.000030	0.000060	0.000156	0.000361	0.000733	0.001408	0.002942	0.002891	0.001626	0.000656	0.000231	0.000104	0.000035	0.000016	0.000004	0.000002	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
5	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.000006	0.000008	0.000023	0.000081	0.000167	0.000326	0.000584	0.001088	0.001029	0.000598	0.000224	0.000081	0.000037	0.000013	0.000008	0.000002	0.000002	0.000001	0.000000	0.000000	0.000000	0.000000	0.000000	
6	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.000000	0.000004	0.000013	0.000036	0.000066	0.000133	0.000230	0.000384	0.000372	0.000180	0.000077	0.000030	0.000014	0.000007	0.000006	0.000001	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.000000	0.000000	0.000003	0.000007	0.000012	0.000035	0.000057	0.000076	0.000137	0.000117	0.000069	0.000031	0.000019	0.000007	0.000004	0.000002	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.000002	0.000004	0.000013	0.000022	0.000029	0.000043	0.000041	0.000024	0.000011	0.000004	0.000001	0.000002	0.000000	0.000001	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
9	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.000004	0.000005	0.000008	0.000010	0.000015	0.000014	0.000013	0.000004	0.000001	0.000002	0.000000	0.000001	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
10	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000002	0.000002	0.000001	0.000003	0.000005	0.000011	0.000004	0.000003	0.000002	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
11	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000002	0.000004	0.000001	0.000002	0.000001	0.000007	0.000005	0.000002	0.000001	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
12	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.000000	0.000000	0.000001	0.000000	0.000000	0.000003	0.000001	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
13	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.000000	0.000000	0.000000	0.000000	0.000001	0.000001	0.000001	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
14	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
