N	2

1	0	-1.000000
1	1	1.000000

2	0	0.000000
2	1	0.000000

3	0	0.000000
3	1	-12.000000
3	2	12.000000

4	0	0.000000
4	1	72.000000
4	2	-72.000000

5	0	0.000000
5	1	-780.000000
5	2	540.000000
5	3	240.000000

6	0	0.000000
6	1	10440.000000
6	2	-9000.000000
6	3	-1440.000000

7	0	0.000000
7	1	-158130.000000
7	2	150570.000000
7	3	-2520.000000
7	4	10080.000000

8	0	0.000000
8	1	2633400.000000
8	2	-2653560.000000
8	3	100800.000000
8	4	-80640.000000

9	0	6531840.000000
9	1	-49249612.000000
9	2	48024900.000000
9	3	-3855600.000000
9	4	-1451520.000000
9	5	0.000000

