241	240	01/03/15 00:00
241	240	01/03/15 00:01
241	240	01/03/15 00:02
241	240	01/03/15 00:04
242	241	01/03/15 00:06
242	242	01/03/15 00:08
241	241	01/03/15 00:10
242	239	01/03/15 00:12
240	235	01/03/15 00:14
238	234	01/03/15 00:16
239	234	01/03/15 00:17
238	234	01/03/15 00:19
234	230	01/03/15 00:21
235	230	01/03/15 00:22
236	230	01/03/15 00:24
239	230	01/03/15 00:26
237	229	01/03/15 00:28
240	231	01/03/15 00:30
240	231	01/03/15 00:31
242	230	01/03/15 00:32
240	228	01/03/15 00:33
240	228	01/03/15 00:35
243	230	01/03/15 00:37
237	227	01/03/15 00:38
234	229	01/03/15 00:40
232	225	01/03/15 00:41
233	223	01/03/15 00:43
234	221	01/03/15 00:44
237	221	01/03/15 00:45
237	222	01/03/15 00:47
238	219	01/03/15 00:48
241	220	01/03/15 00:49
239	217	01/03/15 00:50
236	215	01/03/15 00:52
237	215	01/03/15 00:53
238	215	01/03/15 00:54
241	215	01/03/15 00:55
241	214	01/03/15 00:56
240	213	01/03/15 00:57
243	218	01/03/15 00:58
246	217	01/03/15 00:59
249	218	01/03/15 01:00
248	218	01/03/15 01:01
251	221	01/03/15 01:02
249	222	01/03/15 01:02
248	220	01/03/15 01:03
250	218	01/03/15 01:04
245	217	01/03/15 01:05
246	217	01/03/15 01:05
245	215	01/03/15 01:06
243	213	01/03/15 01:06
247	215	01/03/15 01:07
246	215	01/03/15 01:07
245	213	01/03/15 01:08
244	213	01/03/15 01:08
246	215	01/03/15 01:09
247	215	01/03/15 01:09
248	215	01/03/15 01:10
247	216	01/03/15 01:11
248	215	01/03/15 01:12
245	213	01/03/15 01:12
240	210	01/03/15 01:13
240	210	01/03/15 01:14
237	208	01/03/15 01:15
238	211	01/03/15 01:15
235	208	01/03/15 01:16
232	206	01/03/15 01:17
233	207	01/03/15 01:18
232	202	01/03/15 01:18
231	202	01/03/15 01:19
233	203	01/03/15 01:20
238	204	01/03/15 01:21
241	204	01/03/15 01:22
244	205	01/03/15 01:23
239	203	01/03/15 01:23
242	204	01/03/15 01:24
237	202	01/03/15 01:25
237	201	01/03/15 01:26
239	203	01/03/15 01:27
237	202	01/03/15 01:28
234	199	01/03/15 01:28
235	199	01/03/15 01:30
235	199	01/03/15 01:30
236	198	01/03/15 01:32
237	200	01/03/15 01:33
234	197	01/03/15 01:34
234	198	01/03/15 01:35
236	200	01/03/15 01:36
238	202	01/03/15 01:37
236	204	01/03/15 01:38
236	205	01/03/15 01:39
236	205	01/03/15 01:40
236	205	01/03/15 01:41
236	201	01/03/15 01:42
234	200	01/03/15 01:43
234	198	01/03/15 01:44
238	199	01/03/15 01:45
236	198	01/03/15 01:46
239	199	01/03/15 01:48
240	202	01/03/15 01:49
235	200	01/03/15 01:50
235	199	01/03/15 01:51
233	200	01/03/15 01:52
230	201	01/03/15 01:52
230	204	01/03/15 01:53
231	206	01/03/15 01:55
229	206	01/03/15 01:56
233	206	01/03/15 01:57
236	208	01/03/15 01:58
236	209	01/03/15 01:59
243	211	01/03/15 02:00
243	213	01/03/15 02:02
243	214	01/03/15 02:03
241	212	01/03/15 02:04
240	209	01/03/15 02:06
241	208	01/03/15 02:06
234	205	01/03/15 02:08
232	207	01/03/15 02:09
234	206	01/03/15 02:10
236	204	01/03/15 02:12
236	206	01/03/15 02:14
234	205	01/03/15 02:15
235	205	01/03/15 02:17
237	205	01/03/15 02:18
238	208	01/03/15 02:19
238	204	01/03/15 02:21
240	206	01/03/15 02:22
239	207	01/03/15 02:23
241	206	01/03/15 02:25
240	206	01/03/15 02:26
244	207	01/03/15 02:27
247	210	01/03/15 02:29
250	208	01/03/15 02:30
248	207	01/03/15 02:31
246	207	01/03/15 02:33
251	211	01/03/15 02:34
250	212	01/03/15 02:35
251	213	01/03/15 02:36
247	213	01/03/15 02:38
246	213	01/03/15 02:39
247	213	01/03/15 02:40
249	212	01/03/15 02:42
245	214	01/03/15 02:43
244	214	01/03/15 02:44
244	212	01/03/15 02:46
245	212	01/03/15 02:47
243	211	01/03/15 02:49
245	211	01/03/15 02:51
243	210	01/03/15 02:53
245	212	01/03/15 02:54
