901	16	4	01/03/15 17:17
901	15	5	01/03/15 17:17
901	16	4	01/03/15 17:19
901	17	3	01/03/15 17:19
901	18	2	01/03/15 17:20
901	19	1	01/03/15 17:20
901	20	0	01/03/15 17:27
901	19	1	01/03/15 17:29
901	20	0	01/03/15 17:31
901	19	1	01/03/15 17:36
901	20	0	01/03/15 17:36
901	19	1	01/03/15 17:46
901	20	0	01/03/15 17:54
901	19	1	01/03/15 17:56
901	20	0	01/03/15 18:01
901	19	1	01/03/15 18:02
901	18	2	01/03/15 18:02
901	17	3	01/03/15 18:03
901	16	4	01/03/15 18:05
901	17	3	01/03/15 18:10
901	16	4	01/03/15 18:19
901	15	5	01/03/15 18:19
901	14	6	01/03/15 18:31
901	13	7	01/03/15 18:34
901	12	8	01/03/15 18:34
901	11	9	01/03/15 18:39
901	12	8	01/03/15 18:39
901	11	9	01/03/15 18:43
901	12	8	01/03/15 18:58
901	11	9	01/03/15 19:03
901	10	10	01/03/15 19:16
901	9	11	01/03/15 19:16
901	8	12	01/03/15 19:24
901	7	13	01/03/15 19:29
901	6	14	01/03/15 19:33
901	7	13	01/03/15 23:46
901	8	12	02/03/15 06:24
901	9	11	02/03/15 07:39
901	10	10	02/03/15 07:43
901	11	9	02/03/15 07:46
901	12	8	02/03/15 07:55
901	13	7	02/03/15 07:56
901	12	8	02/03/15 07:57
901	11	9	02/03/15 08:06
901	12	8	02/03/15 08:09
901	13	7	02/03/15 08:11
901	14	6	02/03/15 08:14
901	15	5	02/03/15 08:15
901	14	6	02/03/15 08:18
901	15	5	02/03/15 08:18
901	16	4	02/03/15 08:19
901	17	3	02/03/15 08:19
901	18	2	02/03/15 08:19
901	19	1	02/03/15 08:22
901	20	0	02/03/15 08:29
901	19	1	02/03/15 09:13
901	20	0	02/03/15 09:19
901	19	1	02/03/15 09:52
901	20	0	02/03/15 10:26
901	19	1	02/03/15 10:46
901	20	0	02/03/15 11:54
901	19	1	02/03/15 13:01
901	20	0	02/03/15 13:01
901	19	1	02/03/15 14:58
901	18	2	02/03/15 14:59
901	19	1	02/03/15 15:03
901	18	2	02/03/15 15:28
901	19	1	02/03/15 15:31
901	18	2	02/03/15 15:33
901	17	3	02/03/15 15:34
901	16	4	02/03/15 15:43
901	17	3	02/03/15 16:03
901	16	4	02/03/15 16:39
901	15	5	02/03/15 16:45
901	14	6	02/03/15 16:47
901	13	7	02/03/15 16:48
901	14	6	02/03/15 16:53
901	15	5	02/03/15 16:55
901	14	6	02/03/15 16:56
901	13	7	02/03/15 17:01
901	14	6	02/03/15 17:02
901	15	5	02/03/15 17:02
901	14	6	02/03/15 17:03
901	15	5	02/03/15 17:09
901	14	6	02/03/15 17:19
901	15	5	02/03/15 17:23
901	16	4	02/03/15 17:23
901	17	3	02/03/15 17:23
901	18	2	02/03/15 17:34
